Number of nodes 127
   116 : -5.5408167e+06  5.6615602e+06  5.1443987e+03
   117 : -4.3321790e+06  3.6373497e+06  1.0000000e+02
   118 : -6.3473291e+06  4.6851804e+06  4.4756781e+03
   119 : -6.7985051e+06  5.0523770e+06  4.0841398e+03
   120 : -4.4207141e+06  3.6806827e+06  1.0000000e+02
   121 : -5.0124594e+06  4.2571054e+06  1.0000000e+02
   122 : -5.1556025e+06  3.9300595e+06  6.8236112e+03
   123 : -5.0863996e+06  3.7927090e+06  6.8956180e+03
   124 : -4.4266770e+06  3.5767405e+06  1.0000000e+02
   125 : -3.5287002e+06  2.7468230e+06  1.0000000e+02
   126 : -3.4595898e+06  2.8314896e+06  1.0000000e+02
Number of triangles 199
     0 :      0      1      2
     1 :      3      4      5
     2 :      6      7      8
     3 :      6      9     10
     4 :     11     12     13
     5 :     14     15     16
     6 :     15     17     18
     7 :     19      1     20
     8 :     21     22     23
     9 :     24     17     15
    10 :     25     26     27
    11 :     28     29     30
    12 :     31     32     33
    13 :     32     34     33
    14 :     35      8      7
    15 :     36     37     38
    16 :     39     40     41
    17 :     42     43     44
    18 :     45     46     47
    19 :     48     49     50
    20 :     51     52     53
    21 :     54     55     56
    22 :     57     35      4
    23 :     58     19     59
    24 :     16     12     11
    25 :     45     47     60
    26 :     25     61     26
    27 :     62     17     24
    28 :     57      8     35
    29 :     48     63     49
    30 :     64     34     21
    31 :     28     65     29
    32 :     39     41     66
    33 :     67     68     69
    34 :     70     13     71
    35 :     20     25     72
    36 :     10     73     63
    37 :     70     74     13
    38 :     75     72     25
    39 :     76     45     77
    40 :     50     49      0
    41 :     78      2     58
    42 :     10     63     48
    43 :     29     79     43
    44 :     80     72     75
    45 :     58     59     51
    46 :     81     75     82
    47 :     29     65     79
    48 :     24     15     14
    49 :     10      9     73
    50 :     20     83     25
    51 :     58      2     19
    52 :     61     84     26
    53 :     85     86     87
    54 :     88     39     66
    55 :     89     42     44
    56 :     90     30     29
    57 :     91     92     93
    58 :     43     79     94
    59 :     12     95     13
    60 :     54     56     39
    61 :     96     91     93
    62 :     85     60     97
    63 :     98     99     32
    64 :     51     59     52
    65 :     75     27     82
    66 :     57      4      3
    67 :     75     25     27
    68 :     47     46     82
    69 :    100    101    102
    70 :     47     97     60
    71 :    103     33     34
    72 :     78      0      2
    73 :     38     37    104
    74 :     50      0     78
    75 :     77     45    105
    76 :     70     90     74
    77 :     64    103     34
    78 :     15     18    106
    79 :     25     41     61
    80 :    107     23     22
    81 :    108    109    110
    82 :     59     72     52
    83 :     42     29     43
    84 :     16     15     12
    85 :     88     54     39
    86 :     68     94     69
    87 :     45     60    105
    88 :     35      7     37
    89 :    102    101    111
    90 :    107     46     45
    91 :     19      2      1
    92 :     71     13     95
    93 :     66     41     25
    94 :     85     97     86
    95 :     61    112     84
    96 :     42     90     29
    97 :     88     96     54
    98 :     27     26    113
    99 :     59     20     72
   100 :     96     37     91
   101 :      5     88    108
   102 :    100     95    101
   103 :     84     86     26
   104 :     43     94     92
   105 :     59     19     20
   106 :     91    114     92
   107 :    103     18     33
   108 :     47     82    113
   109 :     12    106    101
   110 :     61     40    112
   111 :    107     22     99
   112 :    110     83      1
   113 :     81     99     98
   114 :     53     52    115
   115 :     12    101     95
   116 :     68     93     94
   117 :     79    116     94
   118 :     32     22     34
   119 :      9     57     73
   120 :     32     99     22
   121 :     96     35     37
   122 :     94    116     69
   123 :     84     87     86
   124 :     31     33    117
   125 :     88    109    108
   126 :     73     57      3
   127 :     91     37    114
   128 :      4     35     96
   129 :     27    113     82
   130 :     96    118     54
   131 :     20      1     83
   132 :     96     93     68
   133 :     74     42     89
   134 :    119     55    118
   135 :     15    106     12
   136 :     67    118     68
   137 :    109     25     83
   138 :     74     90     42
   139 :    104     37      7
   140 :     36    114     37
   141 :    107     99     46
   142 :     61     41     40
   143 :     67    119    118
   144 :     80    115     72
   145 :     36     44    114
   146 :    111    101    103
   147 :     88     66    109
   148 :    117     33     18
   149 :    103    106     18
   150 :     54    118     55
   151 :     94     93     92
   152 :     21     34     22
   153 :     47    113     97
   154 :      9      8     57
   155 :      6    104      7
   156 :      3      5    108
   157 :     66     25    109
   158 :    117     18    120
   159 :     38    104    121
   160 :     96     68    118
   161 :    103    101    106
   162 :     52     72    115
   163 :     17    120     18
   164 :     49     63    122
   165 :    110      1    123
   166 :     73    122     63
   167 :     53    124    120
   168 :     53    120     62
   169 :    108    110    123
   170 :    117    120    124
   171 :     73      3    122
   172 :    111    103     64
   173 :      0    123      1
   174 :    121    104      6
   175 :     62    120     17
   176 :     49    123      0
   177 :    109     83    110
   178 :      3    108    122
   179 :    108    123    122
   180 :     49    122    123
   181 :    107     45     76
   182 :     98     32     31
   183 :     11     13     74
   184 :     53    115    124
   185 :     80    124    115
   186 :     80     75     81
   187 :     36     89     44
   188 :      6      8      9
   189 :     96     88      5
   190 :      5      4     96
   191 :    113     26     86
   192 :     86     97    113
   193 :     81     82     46
   194 :     46     99     81
   195 :     43     92    114
   196 :    114     44     43
   197 :    125    126     23
   198 :     23    107    125
